name ,Asset Growth,Net Interest margin,ROA,Loss Allowance to Loans,Loans to Assets,Score
The Gary State Bank,8.613718412,4.970626901,1.715220348,2.481634116,78.59205776,21.93988478
Plains State Bank,20.13325379,4.229014497,1.599935353,1.221612172,80.70706617,21.93940705
Sanford Institution for Savings,0.031744677,3.833747308,0.817846724,0.891627998,82.20028161,21.93587591
Unity Bank,182.8053085,4.235631045,1.256915676,1.502360853,80.74757585,21.93562086
Legacy Bank of Florida,12.32488874,3.570083338,0.977073828,0.757363171,82.42901094,21.93338282
National Bank of New York City,-2.210210004,2.950986439,0.905543427,1.359481009,82.51636438,21.93309381
"Patriot Bank, National Association",6.198950638,3.56736043,0.6390822,0.865373781,82.65657141,21.93209696
First Port City Bank,15.72331088,4.167735828,1.550145945,1.431933963,80.55738636,21.92680052
"Bank of Southern California, N.A.",14.16978377,4.259518558,0.768332898,0.64639153,82.02641637,21.92516484
First Bank,2.411750439,3.526315632,1.151146226,1.009072784,82.01329531,21.92495749
The North Country Savings Bank,2.644909982,3.968286894,0.61030066,0.366796088,82.75110947,21.92412328
First Nations Bank,3.376963728,3.670338724,1.477418721,2.65877737,79.87875646,21.92132282
Central Bank of Kansas City,30.76597341,4.917176624,4.184906157,2.058941956,76.51567396,21.91917467
First Dakota National Bank,5.09319077,4.271070507,0.726260325,1.388440309,81.28378143,21.91738814
Rushford State Bank (Incorporated),3.944930329,4.556650419,0.35864469,1.385582753,81.36858879,21.91736666
BankLiberty,3.701411947,4.739277411,1.608848233,1.130477814,80.16159462,21.91004952
Paragon Bank,4.776949836,3.868891023,0.667054111,1.350153176,81.75034901,21.90911183
The Farmers & Merchants Bank,1.225243642,4.115601812,0.986613092,1.166167012,81.36193529,21.9075793
Wells Bank,5.104354051,4.370844765,2.073597749,0.973332502,80.21081905,21.90714852
Bonanza Valley State Bank,2.843921569,4.033149784,1.10386023,0.815424478,81.6627451,21.9037949
Bank of Columbia,4.521063882,4.497504355,2.047615644,1.519420316,79.54905696,21.90339932
Brazos National Bank,28.79175355,5.890417317,3.176243114,0.798232843,77.74324271,21.902034
Freedom Bank of Southern Missouri,4.294009944,4.013493299,1.32845521,1.062853614,81.19858234,21.90084612
Alliance Bank,8.010906016,4.177940034,1.350197116,1.663675587,80.40865364,21.90011659
Walpole Co-operative Bank,2.192524828,3.384881182,0.847650246,1.421698184,81.94251131,21.89918523
Amarillo National Bank,34.36718893,3.776734343,2.039809364,1.343323703,80.42670726,21.89664367
Machias Savings Bank,4.890085804,4.294587582,1.151772987,1.751408959,80.38779203,21.89639039
Southern Bank & Trust,20.68277949,4.596576252,1.301654088,1.376183121,80.30667032,21.89527095
Independent Bank,5.930649245,4.70784918,1.205259236,0.991510659,80.67332271,21.89448545
"Calhoun County Bank, Inc.",12.38052286,4.5341863,1.053845867,1.182268639,80.80218805,21.89312221
Bank 7,10.04697338,5.666129319,3.651256994,1.321389305,76.90455409,21.88583243
Coatesville Savings Bank,6.242100523,3.43936077,0.465208729,1.014701275,82.62284444,21.8855288
Greenfield Savings Bank,3.97392727,3.440796707,0.920180316,0.786845715,82.38247772,21.88257511
"Blue Ridge Bank,  National Association",49.24464309,4.056819774,1.232663032,0.796755607,81.42550657,21.87793625
Katahdin Trust Company,6.653135209,3.598689531,0.920903058,0.894952426,82.0929076,21.87686315
Northwestern Bank,1.589817793,3.968183655,2.051126169,2.05238934,79.43467001,21.87659229
Frontier Community Bank,9.733111395,3.411523551,0.612147761,1.185694423,82.29400365,21.87584235
Peoples Bank,12.28515412,4.940443406,1.234458925,1.602452074,79.72334168,21.87517402
Wray State Bank,-2.886582172,4.275045147,1.031316931,1.42008337,80.77204922,21.87462367
Seacoast Commerce Bank,5.857106396,5.675183906,1.398283199,0.555247761,79.86292087,21.87290893
First Oklahoma Bank,18.5699929,3.779753554,0.564139438,0.998672943,82.14743091,21.87249921
Commerce National Bank & Trust,-0.129051515,4.262777365,2.292835678,2.213180916,78.70298838,21.86794558
First Sentinel Bank,6.706504044,4.640832513,1.172203121,1.199974025,80.45576276,21.8671931
First Volunteer Bank,2.02163329,5.255586042,1.994115745,1.228276707,78.97501378,21.86324807
Bank of Oak Ridge,6.601692554,3.963803481,1.004518828,0.999972254,81.47781091,21.86152637
Bank of Galesville,5.432400244,4.433749054,1.653150272,1.499098565,79.83266446,21.85466559
"CornerStone Bank, National Association",11.55720416,4.255840298,0.842642993,1.179133208,81.12656127,21.85104444
Garfield County Bank,0.52464948,3.910576952,1.030116642,2.449851796,80.00678426,21.84933241
"Provident Savings Bank, F.S.B.",-4.508516105,3.439132357,0.629748898,0.742960565,82.58505306,21.84922372
BOM Bank,13.143337,4.867701883,2.005999618,0.560514966,79.96024215,21.84861465
"Axiom Bank, National Association",5.043938348,4.619598784,0.43331106,1.104551514,81.23395445,21.84785395
Preferred Bank,10.28525772,3.981528834,1.790134463,0.962593866,80.65498503,21.84731055
"West End Bank, S.B.",-2.977126716,4.260675585,0.569389704,1.21264395,81.34528508,21.84699858
The Citizens National Bank of Park Rapids,-0.467106946,4.031568482,1.539242915,1.24925091,80.56654582,21.84665203
Millennium Bank,26.72907007,4.634643392,3.220997194,1.098901099,78.4183361,21.84321945
Frontier Bank of Texas,39.98300263,4.477668427,0.986692825,0.631509027,81.27456954,21.84260995
Greater Community Bank,21.99869569,4.798837344,1.265236042,1.068636738,80.22692856,21.83990967
Community Bank,3.399116127,3.80633366,2.352800888,1.517556155,79.68263044,21.83983029
S&T Bank,6.61093736,3.610142944,1.537940222,1.041910773,81.15783865,21.83695815
First Central Bank,7.858264359,4.753866672,1.707620298,2.323339439,78.55938281,21.8360523
Pacific Valley Bank,20.94017398,4.224509636,0.957305209,1.876245945,80.28221565,21.83506911
Bank of New Jersey,7.861244448,3.148402141,0.652445721,1.096417169,82.44246557,21.83493265
Sabine State Bank and Trust Company,6.045720847,4.592895928,1.744521624,0.918483083,80.07022382,21.83153111
Community Bank of Missouri,0.918530351,5.120099344,1.205732361,1.184532781,79.79803743,21.82710048
Hills Bank and Trust Company,8.246091112,3.141325506,1.379436024,1.211265196,81.56477425,21.82420024
HarborOne Bank,33.81823801,3.202127183,0.589419136,0.817119151,82.68773601,21.82410037
The Canandaigua National Bank and Trust Company,5.622671273,3.58921216,1.493828626,0.918316315,81.29407868,21.82385895
First Shore Federal Savings and Loan Association,5.093672711,3.608188257,0.69887613,1.014119477,81.96771103,21.82222372
Executive National Bank,9.963372552,3.861165688,0.771566446,1.314315115,81.32047251,21.81687994
Forest Park National Bank and Trust Company,1.627946776,4.651684733,1.154394727,1.117371386,80.34398665,21.81685937
The First National Bank of Syracuse,6.511512321,4.793523688,1.521484413,1.86703766,79.08479356,21.81670983
First State Bank of Forrest,9.836159816,3.104620019,0.801202837,0.923574764,82.43221232,21.81540249
Avidbank,19.18671555,4.631490469,1.282258012,1.163759799,80.17812027,21.81390714
Branson Bank,13.50979155,4.211986111,1.101636343,1.277072222,80.66198316,21.81316946
The Cape Cod Five Cents Savings Bank,5.784544003,3.152221982,0.737105987,0.619589088,82.74078339,21.81242511
NXT Bank,-0.317301459,2.925229821,0.814585072,1.143850326,82.36569657,21.81234045
"Native American Bank, National Association",12.49433086,4.757323329,3.064094765,1.055456373,78.36390961,21.81019602
Farmers Savings Bank,5.260300118,3.533327827,0.844019653,1.212507342,81.63995656,21.80745285
The Leaders Bank,7.472736471,3.726627671,0.466794945,1.252808185,81.76785497,21.80352144
First Federal Savings Bank of Kentucky,2.872159517,3.315759602,0.204352493,0.478080102,83.20759907,21.80144782
First Bank,19.23115449,3.689032771,1.143324743,1.000155876,81.37129865,21.80095301
The Citizens State Bank,-0.467886248,3.717663167,2.197313528,1.281938589,80.00427423,21.80029738
American Metro Bank,8.98637252,4.436593816,0.482865663,0.97511659,81.29367353,21.7970624
First American State Bank,7.178471118,3.528415778,0.743339151,1.098021876,81.81845893,21.79705893
TexStar National Bank,9.739587791,4.179155349,1.237685035,1.919511449,79.84898115,21.79633325
Sunwest Bank,-0.975995023,4.378740878,1.544250452,2.087130514,79.16737447,21.79437408
Bank Independent,8.155318886,5.697600081,1.266798757,1.038345998,79.1670654,21.79245256
Jersey Shore State Bank,0.055694031,3.09995363,0.982113479,0.95029928,82.1338862,21.79156315
Belgrade State Bank,6.280476967,4.618783572,1.199813269,0.69616609,80.63616201,21.78773124
Marblehead Bank,3.365955707,3.666734709,0.26826136,0.528231149,82.68353091,21.78668953
Union Bank and Trust Company,7.640541143,3.489946033,1.807652501,1.533975279,80.30623463,21.78445211
Old Line Bank,5.645202302,3.916462845,1.24171292,0.290786081,81.68754695,21.7841272
"Barrington Bank & Trust Company, National Association",20.55383727,3.412448723,1.900154149,0.323123272,81.5007502,21.78411909
Home State Bank,2.952085024,3.828740987,1.445129084,1.289071025,80.56563817,21.78214482
Community Bank of Georgia,49.5353116,5.281791893,1.375661309,1.688204645,78.77883663,21.78112362
"Farmers and Merchants Bank of Mound City, Kansas",2.448021462,4.506659794,1.384678505,1.155903707,80.07274416,21.77999654
Community First Bank,2.231390975,4.707648392,1.659173385,1.704565685,79.04856113,21.77998715
Monona Bank,6.239246868,3.581038985,0.873884954,1.192487207,81.46030074,21.77692797
Benchmark Bank,22.58803631,4.763733259,2.52863507,1.039106869,78.77210684,21.77589551
The Cowboy Bank of Texas,9.810721176,4.189473416,2.200925522,0.763836714,79.94855046,21.77569653
American Bank of Oklahoma,13.76733414,4.830225634,0.684351259,0.750780591,80.81988319,21.77131017
"Natbank, National Association",7.024058546,4.032526253,0.470823126,0.603730558,81.9774907,21.77114266
Village Bank,9.229903956,3.91649788,0.704438036,0.745385679,81.70304162,21.7673408
TCF National Bank,99.32061025,4.753829287,1.281021657,0.866565732,80.16286891,21.7660714
Oklahoma Capital Bank,10.38111594,3.934362795,0.841703298,1.377349104,80.89061035,21.76100639
EH National Bank,36.00208924,5.467576912,0.54526965,2.334378117,78.69261763,21.75996058
Envision Bank,8.730634733,3.157406746,-0.43991162,0.782776502,83.53647379,21.75918635
Carolina Trust Bank,33.93814486,4.048815666,0.889235308,1.030870974,81.06676018,21.75892053
South Story Bank & Trust,2.73133063,4.261873062,1.36354666,1.283592044,80.12635213,21.75884097
Premier Bank,13.83999078,4.202046246,1.460085531,1.1948159,80.17592169,21.75821734
Security Bank Minnesota,5.02368926,4.458938849,1.644282791,1.365008786,79.56223815,21.75761714
Washington Savings Bank,-0.877607633,2.976719848,-0.034850578,0.490882033,83.59352648,21.75656945
First Financial Northwest Bank,6.101226685,3.634324581,1.470611053,1.300637308,80.60524805,21.75270525
Guaranty Bank,5.103672556,3.940387425,1.171885031,0.979962231,80.91617126,21.75210149
Community Bank,11.27544806,4.354778264,1.406502479,1.260876571,79.96889682,21.74776353
Mutual Savings Bank,9.228998558,3.659846138,0.669302012,0.978250036,81.67923001,21.74665705
Kennebec Savings Bank,6.687583379,3.239634939,0.997996599,0.566554,82.18063373,21.74620482
Royal Banks of Missouri,-5.662543745,3.721589737,1.105389975,0.750997944,81.39445877,21.74310911
"Taylorsville Savings Bank, SSB",6.681534344,4.164209379,0.268725179,1.613933586,80.90593716,21.73820133
Sibley State Bank,6.01519573,3.669953661,0.993948539,1.270344739,81.01453848,21.73719635
The First National Bank of Jeanerette,7.9520135,4.565529867,1.417452781,2.032381872,78.93320554,21.73714252
Pinnacle Bank - Wyoming,13.1197737,4.08552369,1.652834772,1.315631734,79.89335827,21.73683712
Security Savings Bank,97.11478846,3.657804993,0.721902301,1.273709719,81.29109724,21.73612856
Fidelity Co-operative Bank,9.131197177,3.709949025,0.540469833,0.800285015,81.88006448,21.73269209
Northwest Bank,6.309482274,3.718527099,1.537302331,1.303134699,80.36604182,21.73125149
Salisbury Bank and Trust Company,4.094968555,3.389124745,0.872953279,0.853952604,81.80421332,21.73006099
Northside Community Bank,9.363448946,4.185626215,1.233301218,2.297337419,79.19879392,21.72876469
Eagle Savings Bank,3.213209944,3.476304056,0.365233271,1.041192336,82.02286336,21.72639826
STC Capital Bank,-9.260830694,3.970598602,0.96203736,1.190900961,80.77864319,21.72554503
Haven Savings Bank,1.435420166,2.563268194,0.252553588,0.511683745,83.55796015,21.72136642
Summit State Bank,14.38017751,3.745137166,1.059418161,1.198946766,80.87772557,21.72030692
The Peoples Bank,1.580287257,3.789011937,0.894147893,1.720758444,80.47664434,21.72014065
Partners Bank of California,18.85610027,4.306113554,0.762525627,1.495503247,80.30094274,21.71627129
Farmers Trust and Savings Bank,6.570230608,3.103702759,1.333146044,1.155635387,81.26880969,21.71532347
Mission Valley Bank,10.52903276,5.114911365,1.113505431,1.613106644,79.01316047,21.71367098
First Alliance Bank,4.910932433,4.528213548,0.487409311,0.870290459,80.95893859,21.71121298
Andover State Bank,16.34649332,4.263627145,0.574907307,1.089081262,80.91628419,21.71097498
First Neodesha Bank,10.65909873,4.047245818,1.57409108,1.052102918,80.16965245,21.71077307
Denmark State Bank,6.847661278,3.902311631,0.89982088,1.508898472,80.52555007,21.70914526
Federal Savings Bank,4.723519781,3.159443385,0.268651865,0.913044025,82.48374492,21.70622105
Crawford County Trust and Savings Bank,1.631439999,3.895848546,1.415732319,1.206428233,80.30520996,21.70580476
First Federal Savings Bank,-2.535888019,3.791998279,0.469919186,0.582163122,81.9771307,21.70530282
Cache Valley Bank,16.3108364,5.590195776,2.33699057,1.532868323,77.35131796,21.70284316
FCB Banks,12.57302719,3.107576155,1.184288295,0.851510016,81.65850288,21.70046934
Norwood Co-operative Bank,9.738093044,3.308484692,1.216841907,0.771589788,81.50121335,21.69953243
York Traditions Bank,15.68452215,3.562703974,1.029044854,0.989287305,81.20963826,21.6976686
"Affiliated Bank, National Association",32.52158784,1.740607372,0.368902812,0.12648888,84.53900867,21.69375193
"Dollar Bank, Federal Savings Bank",7.04291249,3.027213744,0.824024987,0.665692525,82.24427519,21.69030161
The MINT National Bank,19.70874624,4.323427403,1.8459496,1.883793876,78.69410209,21.68681824
Oregon Community Bank,15.10252634,3.852187208,1.669238467,1.128685296,80.0932317,21.68583567
Coastal Community Bank,18.81413476,4.208785046,1.119087471,1.224073581,80.18250289,21.68361225
Bank of Billings,1.947633399,4.853625001,1.137309541,0.951495361,79.79199693,21.68360671
The First State Bank,2.278718006,4.437650767,1.912070457,0.746073901,79.63811495,21.68347752
South Lafourche Bank & Trust Company,2.655963949,3.945924656,-0.587986948,2.481450668,80.88367836,21.68076668
AVB Bank,7.016865405,4.295871695,0.744111862,1.388680071,80.28956637,21.6795575
NorthStar Bank,6.898997461,3.668612221,1.517919498,1.282486306,80.2453152,21.67858331
Peoples State Bank,12.34494419,4.750000611,1.085225093,1.66464097,79.21346376,21.67833261
Ottawa Savings Bank,9.641404379,3.825447476,0.737892481,1.141589688,81.00604391,21.67774339
Oakwood Bank,74.9864105,3.864351609,-0.815103072,0.54113161,83.11387067,21.6760627
Newtown Savings Bank,2.346321768,3.383127269,0.631220338,0.83426204,81.8453229,21.67348314
St. Clair State Bank (Incorporated),6.489642522,3.817335107,2.46032765,1.859899669,78.55576932,21.67333294
"First Federal Community Bank, National Association",15.17894737,3.799503,1.307300609,1.081044829,80.5037037,21.67288803
Ballston Spa National Bank,11.32832467,3.912230462,0.972764784,1.259838423,80.5317928,21.66915662
State Savings Bank,60.2227925,3.946253581,-0.128418621,0.578640541,82.2748061,21.6678204
NSB Bank,3.470369183,4.058231181,2.158383236,0.975999508,79.46780438,21.66510458
Metropolitan Bank,5.389291765,4.349408142,1.118410047,1.704512499,79.48047532,21.6632015
Lighthouse Bank,7.981639679,5.539668821,1.603866092,2.293184559,77.21367361,21.66259827
The Bank of East Asia Ltd.,5.381450651,0,0,0,86.64044517,21.66011129
The Citizens Bank of Edmond,11.92501835,4.023845447,0.914185388,1.280642804,80.4191693,21.65946073
"Farmers State Bank of Alto Pass, Ill.",11.19674111,4.620883182,0.790226886,0.664216989,80.54472681,21.65501347
CFG Community Bank,39.67248689,5.041184386,3.185945838,2.458804766,75.9275065,21.65336037
First State Bank,-10.03620633,5.091897703,2.531678777,2.957805654,76.0248272,21.65155233
"North Shore Bank, a Co-operative Bank",6.021599151,3.812162669,0.847722118,1.156797077,80.77037283,21.64676367
Mechanics Bank,4.753866198,3.536286998,0.775438283,1.058864395,81.21527974,21.64646735
Signature Bank of Arkansas,5.157568466,3.851217454,0.885621721,1.427435597,80.41210827,21.64409576
Buckeye Community Bank,4.148399792,4.178921044,1.170555297,1.469773216,79.74903856,21.64207203
Bank of Bolivar,6.274515259,3.81147774,0.834643832,1.074815864,80.84506357,21.64150025
Union Bank,10.0371065,4.388296807,0.429783288,0.890679152,80.85660375,21.64134075
First State Bank,7.009089791,4.375080027,1.901286622,1.699348234,78.58029315,21.63900201
High Plains Bank,63.40010887,4.495982427,2.620790556,0.742897162,78.69569951,21.63884241
Lake City Bank,4.116682283,3.446233809,1.743708627,1.256767967,80.10302567,21.63743402
The New Washington State Bank,4.655210121,4.531323151,1.639800722,1.191565255,79.18200384,21.63617324
Elmira Savings Bank,7.859304509,3.329866827,0.785898071,0.941277165,81.48275282,21.63494872
Mediapolis Savings Bank,4.89428969,3.517330479,1.225661808,1.416326683,80.37706599,21.63409624
Joy State Bank,317.1379942,4.350872358,0.851810305,0.284586678,81.0443397,21.63290226
Peoples Bank of Alabama,7.016739339,4.652515716,1.575278255,1.464664128,78.8350083,21.6318666
Pinnacle Bank,10.76083364,3.743088068,1.879527878,1.439967033,79.46420917,21.63169804
"Cadence Bank, N.A.",51.88545801,3.832137397,1.760516315,0.907750253,80.02556712,21.63149277
First Federal Community Bank of Bucyrus,19.78738321,4.127167063,0.63283903,1.115859253,80.64674873,21.63065352
The Cooperative Bank,4.320396767,3.233841615,0.55793234,0.786142265,81.92673211,21.62616208
Meramec Valley Bank,4.974860845,3.547262784,0.409850921,0.964854007,81.55506734,21.61925876
The Lorraine State Bank,-0.182230321,3.636592454,0.984290203,1.105062602,80.74581092,21.61793904
Kinmundy Bank,3.221556377,5.055204817,2.294379028,0.97212872,78.14611756,21.61695753
Central Bank,5.260397258,5.228876104,1.654263272,1.06885541,78.51081034,21.61570128
Mound City Bank,3.830213268,3.367143268,1.183003021,1.263594773,80.63527398,21.61225376
Premier Bank Minnesota,14.80960391,4.258091312,1.765650345,1.344264797,79.07718524,21.61129792
Washington Savings Bank,3.846803462,3.305778587,0.608959413,0.753462327,81.77361615,21.61045412
FIDELITY BANK,22.72094256,3.798903227,-0.356654343,1.011934879,81.97828471,21.60811712
First National Bank,56.48509703,6.813715346,1.354009116,5.015426699,73.24480505,21.60698905
Western Nebraska Bank,-0.94941916,3.882556281,0.851044589,1.413516818,80.27610491,21.60580565
"Guaranty Bank & Trust Company of Delhi, Louisiana",12.80465803,5.070282701,2.511729482,0.647077212,78.19337379,21.6056158
State Bank of Southwest Missouri,12.48874984,3.728927937,0.951627695,0.375750451,81.35944799,21.60393852
Admirals Bank,-6.419110302,4.339513361,-1.770457219,0.986497031,82.85685868,21.60310296
Hustisford State Bank,6.516395785,4.501858474,1.034365399,0.982452826,79.88682049,21.6013743
Vista Bank,11.08085546,4.479508904,0.856309495,0.944089304,80.12396955,21.60096931
Home Savings Bank,4.199015324,3.385195568,1.30216529,0.938553108,80.77330867,21.59980566
United Valley Bank,37.44746636,4.240645553,1.568481841,1.508020272,79.08006489,21.59930314
Tradition Capital Bank,17.08413722,3.162858105,1.019599525,1.113105563,81.09959389,21.59878927
"Alerus Financial, National Association",2.523245327,4.007084251,1.438858147,1.199033514,79.74839865,21.59834364
Home Federal Savings Bank,3.421619481,3.975962478,1.160624613,1.479478765,79.77697416,21.59826
Republic Bank & Trust Company,16.84527721,4.729637415,1.57409523,1.052149134,79.03221817,21.59702499
Home Bank of Arkansas,0.343094344,4.562507403,0.030886926,1.854805159,79.93957021,21.59694242
"Eclipse Bank, Inc.",4.97481688,3.556527108,0.740271694,1.063052502,81.02192181,21.59544328
Citizens Progressive Bank,2.00974231,4.673243384,1.212958823,0.864907787,79.62806636,21.59479409
Wilson Bank and Trust,12.21714309,3.972767579,1.326464441,1.348687476,79.71648517,21.59110117
First National Bank of Scotia,1.482171001,3.653709445,0.554237281,1.04815008,81.10811259,21.59105235
First Texoma National Bank,1.722527184,4.491807305,1.262613438,1.360492723,79.23735606,21.58806738
Farmers State Bank,4.647444875,4.306818919,0.880405363,0.570465517,80.58975364,21.58686086
Stearns Bank Holdingford National Association,23.42471652,3.634532264,1.332568383,1.331347861,80.04760538,21.58651347
Tomahawk Community Bank S.S.B.,4.879309717,4.082027748,0.561804539,1.409168537,80.28761787,21.58515467
BankTennessee,6.267234554,4.59066277,1.326577062,1.433511635,78.98613045,21.58422048
Citizens Savings Bank,2.975142596,4.836191097,0.854632903,2.121740848,78.51075628,21.58083028
"Montgomery Bank, National Association",3.169441376,3.576068187,0.924353946,1.05560384,80.76629714,21.58058078
The Bank of Bennington,3.010618849,3.140035406,0.771078061,1.085059946,81.31126259,21.576859
Cullman Savings Bank,2.215281099,4.11499435,1.378555892,0.906834911,79.90002069,21.57510146
Mechanics Cooperative Bank,4.588275508,3.804497625,1.13168091,0.688192585,80.6754401,21.57495281
Flushing Bank,8.728831247,2.956642974,1.007828716,0.377486356,81.95334713,21.57382629
Oak View National Bank,6.127940535,3.674924191,0.708784612,0.896658234,81.00699707,21.57184103
BANK 34,3.214011707,4.27569518,0.344245452,1.064926255,80.59816404,21.57075773
"Community Bank of Wichita, Inc.",11.06782011,4.529943786,0.840490238,1.252496807,79.65792776,21.57021465
First National Bank in Fairfield,-6.367626992,3.633444437,-0.263580301,2.835073688,80.07582194,21.57018994
Idaho First Bank,8.437672317,3.918137621,0.229855426,1.227888131,80.89926292,21.56878602
The Bank of New Glarus,8.943621347,4.309495649,1.497377015,1.427010998,79.04056393,21.5686119
Magyar Bank,1.019322247,3.569211064,0.39923391,0.819304372,81.48647956,21.56855723
The Jefferson Bank,-8.606282936,5.98821733,3.257872279,2.280015606,74.74524704,21.56783806
The Dickinson County Bank,21.09916537,5.033822076,0.840556869,1.501634131,78.87254209,21.56213879
Shore United Bank,7.243974167,3.804728235,1.16521748,0.874123063,80.39929211,21.56084022
"Triad Bank, National Association",9.3111293,4.719646018,1.346206141,1.975327272,78.18977347,21.55773823
Five Star Bank,27.05230875,4.169318176,2.284877568,1.234766074,78.534259,21.5558052
The Lowell Five Cent Savings Bank,6.228675541,3.832621606,0.830387896,0.926389391,80.63365906,21.55576449
BlackRidgeBANK,5.031856279,4.232095056,0.786773654,1.336799994,79.85907374,21.55368561
St. Clair County State Bank,3.08472153,3.914506363,1.415506612,1.305819765,79.57021857,21.55151283
INSOUTH Bank,5.50324866,4.892285573,1.229193519,0.976663016,79.10131739,21.54986487
"First Federal Bank, A FSB",18.77120178,3.308224935,0.720050394,0.498553579,81.64715191,21.5434952
Magnolia Bank,36.08404772,3.407716167,1.449484832,0.704497504,80.61144887,21.54328684
"WaterStone Bank, SSB",4.54362243,3.250982463,1.800011577,0.853109243,80.25298096,21.53927106
KCB Bank,-4.989863582,4.369849645,1.773036082,1.104096954,78.89282859,21.53495282
"Eastern Savings Bank, FSB",-3.505082155,6.405069891,1.866077684,1.238283974,76.63003439,21.53486648
Investors Bank,4.780559224,2.822538331,0.885688686,1.100830972,81.31234158,21.53034989
Alva State Bank & Trust Company,5.84186163,3.911568983,1.378457092,1.944380468,78.87583043,21.52755924
Bedford Federal Savings Bank,6.579909814,4.203492196,0.840769437,1.05583393,79.99582024,21.52397895
Clear Lake Bank and Trust Company,5.624126056,3.919635747,1.707202383,1.255612839,79.21086829,21.52332981
Lincoln Savings Bank,10.26496428,3.942612901,1.238160255,1.370988598,79.53633303,21.5220237
"Presidential Bank, FSB",22.06332301,4.27728674,0.492901749,1.128880527,80.18861348,21.52192062
Presidio Bank,5.183961523,4.298009861,1.368491865,1.109675992,79.30179616,21.51949347
CTBC Bank Corp. (USA),1.814332464,3.611756296,1.231097301,1.319060769,79.91598286,21.51947431
Customers Bank,10.4437675,2.714591706,0.776142516,0.465204176,82.1142066,21.51753625
One American Bank,53.08170686,10.15611699,0.369588198,5.680201881,69.85919641,21.51627587
Cornerstone Bank,10.25960332,3.721551499,1.079353362,1.420929849,79.84006794,21.51547566
Eureka Homestead,8.872745491,2.327510724,0.27835529,1.022691725,82.42885772,21.51435386
Providence Bank & Trust,65.09224068,3.98111318,0.98513399,1.655038675,79.42762452,21.51222759
"Fulton Bank, National Association",83.95715803,3.419919331,0.931812224,0.84925268,80.84531966,21.51157597
The Peoples Savings and Loan Company,2.325061025,3.789156469,0.528240457,1.894810519,79.83319772,21.51135129
Saco & Biddeford Savings Institution,4.617545781,3.051433199,0.829887834,0.559768133,81.60335113,21.51111007
Community Financial Services Bank,8.72013442,3.600745949,0.867626904,1.030611746,80.54104225,21.51000671
Spring Bank,9.134558354,5.126729483,1.797976952,1.059761983,78.05073688,21.50880132
Stifel Bank,250.4048994,0.393100237,-0.085750746,1.437911552,84.28936902,21.50865752
First National Bank in Howell,9.628990772,4.173282974,0.607468044,1.705712013,79.53534166,21.50545117
Bank of Chestnut,-0.839690467,3.862065002,0.43182421,0.854643338,80.85725262,21.50144629
First Federal Bank of the Midwest,8.167596296,3.986585127,1.428037886,1.119513164,79.47050524,21.50116035
Heritage Bank of St Tammany,13.46999801,3.703294066,0.546895606,0.814532359,80.9280177,21.49818493
Community Point Bank,9.141817383,3.025864059,1.011656311,1.190887456,80.75716459,21.4963931
The Dart Bank,10.95138369,4.19493088,0.908964999,1.08058078,79.79621462,21.49517282
Landmark Community Bank,-1.580498449,2.666482375,0.956708176,0.855780317,81.50142273,21.4950984
BankSouth,7.223320856,3.711086529,1.222201182,1.971543232,79.07102667,21.4939644
Melrose Bank,5.769647416,2.487978886,0.613017649,0.515852997,82.35476973,21.49290482
MainStreet Bank,16.76201276,3.563268472,0.894733028,0.969213758,80.53207661,21.48982297
Farmers State Bank,-1.252444116,5.247064215,1.502334788,2.397260274,76.81128785,21.48948678
"TIAA, FSB",19.55552275,2.825834377,0.746040687,0.489402774,81.88346257,21.4861851
Pacific Global Bank,12.4160133,4.301266805,1.471776785,1.515930435,78.64860264,21.48439417
Allegiance Bank,61.56719099,4.159357157,1.13926724,0.966272636,79.67128763,21.48404617
Cattaraugus County Bank,6.777796186,4.327497111,0.772716844,1.572680415,79.25539824,21.48207315
Community Shores Bank,13.21569259,4.098294864,0.616374229,1.201992343,80.01088992,21.48188784
Wallkill Valley Federal Savings and Loan Association,1.161259428,4.041844343,0.226902715,0.715781071,80.94220716,21.48168382
People's Bank of Seneca,6.072485054,4.503577767,1.377404259,1.254139958,78.79129517,21.48160429
The Clay City Banking Co.,7.157651814,3.793441028,0.700081976,0.860000706,80.55458005,21.47702594
American National Bank of Minnesota,6.232867034,4.571112082,1.054851213,1.741801467,78.53574961,21.47587859
The Middlefield Banking Company,6.212533246,3.742710978,1.200343791,0.769489051,80.17234085,21.47122117
Univest  Bank and Trust Co.,11.6051385,3.823554555,1.000840298,0.707942399,80.33810233,21.4676099
"Farmers State Bank, S/B",-2.162946997,4.200675595,0.403648262,1.047033405,80.21015762,21.46537872
Community First Bank of Indiana,12.37363648,4.358799467,1.15605213,2.123916345,78.21572071,21.46362216
"Pioneer Community Bank, Inc.",4.688494058,4.81163827,0.730366452,1.932528786,78.3711517,21.4614213
"Bank of America California, National Association",-13.24417321,2.925833478,2.110324527,0.45045045,80.34798416,21.45864815
East West Bank,10.74270222,3.806993134,1.891467796,0.993297761,79.14047954,21.45805956
Lewis & Clark Bank,35.8611577,4.458321606,1.117257768,1.264142194,78.99019159,21.45747829
"Greeneville Federal Bank, FSB",-4.257132018,4.268763157,0.587739004,1.700601573,79.2684823,21.45639651
Lake-Osceola State Bank,5.231634642,4.208973605,1.218119209,1.125553292,79.26760119,21.45506182
